# 青菱沃野 · 运行时卡牌表（r18 / 2026-09-06）——紧凑规则表
# 数字编码 - 一目了然，只填数字
# card_type: 0=starter, 1=tile, 2=river
# edge (N/E/S/W): 0=EMPTY 1=LAND 2=WATER 3=RIVER
# center: 0=EMPTY 1=LAND 2=RIVER
# *_ir=1 表示该边带 IRRIGATION 修饰（WATER_WITH_IRRIGATION / LAND_WITH_IRRIGATION）
# 说明：运行时连通性(water_subnets/land_subnets)与 3D 预制件默认不再手填，
#       由 tile_catalog 按确定性默认值派生；仅 river_end 明确复用 starter_river 的预制件：
#       - 同地块多水口默认并入同一水网（经中心水网枢纽相连）；
#       - 中心 LAND 合并本地全部 land 边；center EMPTY 的各 land 边只在本地独立，贴合的 LAND↔LAND 边仍连接对应子区；
#       - 预制件按 id 固定为 res://scenes/tiles_3d/generated/procedural_<id>.tscn。
# 主牌堆配比：带水 LAND 30 / 不带水 LAND 15 / 纯 WATER 10；三、四分支纯水共 3 张。
id,display_name,card_type,count,N,E,S,W,N_ir,E_ir,S_ir,W_ir,center,prefab_scene,river_setup_terminal
starter_river,起始河流,0,1,0,0,0,3,0,0,0,0,2
river_curve,转弯河流,2,3,0,0,3,3,0,0,0,0,2
river_straight,直线河流,2,1,0,3,0,3,0,0,0,0,2
river_water_branches,主河单侧细水路,2,2,2,3,0,3,0,0,0,0,2
river_end,终止河流（同起始河流）,2,1,0,0,0,3,0,0,0,0,2,res://scenes/tiles_3d/generated/procedural_starter_river.tscn,1
water_curve,拐弯水网,1,6,2,2,0,0,0,0,0,0,0
water_opposite,对向水网,1,1,2,0,2,0,0,0,0,0,0
water_three_way,三向水网,1,1,2,2,2,0,0,0,0,0,0
water_cross,十字水网,1,2,2,2,2,2,0,0,0,0,0
land_three_edges_irrigated,整三边灌溉,1,6,1,1,1,2,0,0,0,1,1
land_opposite_edges_irrigated_split,分双边灌溉,1,2,1,2,1,2,1,0,1,0,0
land_adjacent_edges_irrigated,整邻边灌溉,1,6,1,1,2,2,0,0,1,1,1
land_adjacent_edges_irrigated_split,分邻边灌溉,1,1,1,1,2,2,1,1,0,0,0
land_single_edge_water_straight_irrigated,单边直线水网灌溉,1,4,1,2,0,2,1,0,0,0,0
land_single_edge_water_curve_a,单边拐弯水网灌溉1,1,2,1,2,2,0,1,0,0,0,0
land_single_edge_water_curve_b,单边拐弯水网灌溉2,1,2,1,0,2,2,1,0,0,0,0
land_single_edge_water_three_way_irrigated,单边三向水网灌溉,1,1,1,2,2,2,1,0,0,0,0
land_single_edge_irrigated_a,单边灌溉1,1,2,1,2,0,0,1,0,0,0,0
land_single_edge_irrigated_b,单边灌溉2,1,2,1,0,2,0,1,0,0,0,0
land_single_edge_irrigated_c,单边灌溉3,1,2,1,0,0,2,1,0,0,0,0
land_four_edges,四边,1,2,1,1,1,1,0,0,0,0,1
land_three_edges,整三边,1,3,1,1,1,0,0,0,0,0,1
land_adjacent_edges,整邻边,1,3,1,1,0,0,0,0,0,0,1
land_adjacent_edges_split,分邻边,1,1,1,1,0,0,0,0,0,0,0
land_opposite_edges,整对边,1,2,1,0,1,0,0,0,0,0,1
land_opposite_edges_split,分对边,1,2,1,0,1,0,0,0,0,0,0
land_single_edge,单边,1,2,1,0,0,0,0,0,0,0,0
